"target","feature_01","feature_02","feature_03","feature_04","feature_05","feature_06","feature_07","feature_08","feature_09","feature_10","feature_11","feature_12"
0,"4","3","6",5620,6,67,34,NA,5000,75,35.24,200
0,"4","4","7",5420,7,69,35,NA,5000,41,30.92,200
0,"4","5","1",5540,5,54,35,33.26,5000,62,33.44,200
0,"4","6","2",5590,6,51,48,38.12,5000,44,42.08,300
1,"4","7","3",5690,6,63,59,52.88,2014,31,53.42,300
0,"4","8","4",5550,7,63,41,37.58,5000,56,37.22,250
1,"4","9","5",5620,7,57,58,46.76,5000,27,47.66,120
0,"4","10","6",5630,6,61,51,NA,524,57,54.68,140
0,"4","11","7",5580,7,78,46,NA,5000,55,38.48,200
0,"4","12","1",5560,4,65,40,34.7,5000,59,35.24,140
0,"4","13","2",5440,5,44,35,33.08,5000,24,32.54,80
0,"4","14","3",5480,7,51,46,37.4,2490,29,47.48,300
0,"4","15","4",5620,5,73,39,39.56,5000,107,31.28,100
0,"4","16","5",5450,11,35,32,NA,5000,36,33.44,300
0,"4","17","6",5660,6,35,47,NA,5000,28,39.38,200
1,"4","18","7",5680,6,61,50,NA,1144,30,53.6,120
1,"4","19","1",5760,4,50,65,56.3,547,1,66.92,100
1,"4","20","2",5790,4,57,66,63.68,413,10,69.62,120
1,"4","21","3",5720,5,68,69,60.8,610,46,63.68,60
0,"4","22","4",5660,6,58,59,42.8,3638,81,51.26,120
1,"4","23","5",5710,5,65,64,56.3,3848,45,56.84,100
1,"4","24","6",5780,7,78,68,NA,1479,40,68,100
1,"4","25","7",5750,7,73,49,NA,1108,55,65.48,27
1,"4","26","1",5700,5,41,52,49.64,869,0,58.1,40
0,"4","27","2",5620,9,47,56,39.92,5000,43,38.3,140
0,"4","28","3",5650,6,46,55,40.82,5000,49,37.94,150
1,"4","29","4",5730,5,61,66,59.72,1148,31,60.8,100
1,"4","30","5",5810,4,55,74,67.28,856,4,75.38,100
1,"5","1","6",5790,4,60,76,NA,807,16,73.04,120
1,"5","2","7",5740,8,78,70,NA,2040,46,63.5,150
0,"5","3","1",NA,8,62,61,44.42,5000,63,42.62,100
1,"5","4","2",5690,4,71,67,52.52,314,60,59,120
0,"5","5","3",NA,4,67,45,41.72,5000,77,42.62,80
0,"5","6","4",5680,6,77,41,42.98,5000,75,40.82,120
1,"5","7","5",5650,8,66,61,51.8,1410,20,55.22,140
1,"5","8","6",5730,6,74,68,NA,360,23,62.42,120
1,"5","9","7",5730,3,78,69,NA,1568,32,67.64,70
1,"5","10","1",5760,7,78,74,63.14,1184,40,68.72,80
1,"5","11","2",5830,6,75,74,67.28,898,24,73.4,70
1,"5","12","3",5880,3,80,80,73.04,436,0,86.36,40
1,"5","13","4",5890,6,88,84,73.22,774,6,86,20
1,"5","14","5",5850,4,76,78,71.24,1181,50,79.88,17
1,"5","15","6",5820,6,63,80,NA,1991,47,69.62,40
1,"5","16","7",NA,7,68,73,NA,2057,71,67.28,50
1,"5","17","1",5800,7,78,76,NA,1597,56,68,50
1,"5","18","2",5740,3,74,74,NA,1184,52,69.44,70
1,"5","19","3",5710,7,63,66,NA,3005,58,59.18,80
0,"5","20","4",5720,8,62,66,NA,2880,53,57.38,120
1,"5","21","5",5710,7,69,63,NA,NA,66,56.3,120
1,"5","22","6",5740,5,53,69,NA,2125,64,59,100
NA,"5","23","7",5720,3,64,66,NA,1751,67,59.9,120
1,"5","24","1",5690,9,62,62,NA,3720,74,50.9,120
1,"5","25","2",5730,5,71,67,49.82,4337,66,59.36,200
1,"5","26","3",5780,3,68,80,NA,2053,31,72.86,120
1,"5","27","4",5790,7,79,76,NA,1958,70,70.52,40
0,"5","28","5",5750,3,76,65,51.08,3644,86,59.36,70
0,"5","29","6",5680,6,71,65,NA,1368,75,58.46,100
1,"5","30","7",5720,3,66,63,NA,3539,73,53.6,120
1,"5","31","1",5770,4,81,62,NA,2785,49,63.32,100
1,"6","1","2",5800,4,72,68,NA,984,26,69.26,120
1,"6","2","3",5780,8,92,68,64.76,1804,56,68,70
1,"6","3","4",5740,6,71,69,64.4,3234,77,62.78,80
1,"6","4","5",5730,6,64,66,60.44,3441,67,60.98,100
1,"6","5","6",5760,6,68,70,NA,1578,61,60.8,100
1,"6","6","7",5770,7,59,70,NA,1850,76,60.8,120
0,"6","7","1",5690,8,67,64,54.5,2962,80,59.36,120
0,"6","8","2",5650,6,66,61,53.78,2670,54,55.4,120
0,"6","9","3",5610,3,61,52,42.08,5000,76,42.08,150
0,"6","10","4",5570,9,81,48,41.72,5000,57,40.82,140
1,"6","11","5",5690,5,63,59,51.8,5000,46,51.26,140
1,"6","12","6",5760,3,58,67,NA,987,28,63.86,140
1,"6","13","7",5810,5,68,66,NA,1148,43,66.92,140
1,"6","14","1",5830,4,71,74,71.78,898,-24,77.9,60
1,"6","15","2",5880,6,67,83,72.5,777,-1,82.58,30
1,"6","16","3",5860,3,64,78,68.72,1279,75,71.6,17
1,"6","17","4",5830,6,64,75,66.2,1046,69,68.72,80
1,"6","18","5",5870,4,69,84,74.12,1167,50,74.3,60
1,"6","19","6",5860,3,77,81,NA,987,45,75.74,100
1,"6","20","7",5800,3,61,79,NA,1144,57,71.24,120
1,"6","21","1",5800,4,69,79,66.2,977,60,70.7,150
1,"6","22","2",5770,5,64,65,65.12,770,26,75.56,120
1,"6","23","3",5860,4,33,81,72.68,629,-11,86.36,140
1,"6","24","4",5870,7,38,84,76.1,337,-14,89.78,140
1,"6","25","5",5870,4,54,83,NA,590,26,85.1,120
1,"6","26","6",5860,6,39,90,NA,400,19,83.3,120
1,"6","27","7",5880,5,43,90,NA,580,9,87.26,80
1,"6","28","1",5870,7,55,93,NA,646,25,89.24,140
1,"6","29","2",5860,4,77,88,NA,826,41,84.38,140
1,"6","30","3",5830,5,63,72,NA,823,52,74.48,150
1,"7","1","4",5820,5,65,72,NA,2116,47,70.34,120
1,"7","2","5",5820,8,64,70,NA,2972,52,64.4,120
1,"7","3","6",5860,6,68,78,NA,2752,41,69.98,140
1,"7","4","7",5870,3,76,87,NA,1377,37,78.44,100
1,"7","5","1",5890,6,71,91,NA,1486,33,79.88,50
1,"7","6","2",5900,6,86,87,81.68,990,22,85.1,40
1,"7","7","3",5890,5,65,91,NA,508,29,85.28,100
NA,"7","8","4",5890,5,69,90,NA,688,37,83.3,80
1,"7","9","5",5910,4,73,88,79.88,1204,56,79.88,100
1,"7","10","6",5900,5,69,83,NA,2414,63,76.46,60
1,"7","11","7",5860,3,64,78,NA,2385,67,70.34,50
1,"7","12","1",5830,3,63,79,70.88,2326,64,71.24,70
1,"7","13","2",5850,9,72,77,69.44,3389,56,68.72,80
1,"7","14","3",5830,6,82,81,73.22,2818,58,71.78,80
1,"7","15","4",NA,6,83,76,72.32,3083,75,72.32,80
1,"7","16","5",5810,8,69,76,67.64,2394,54,69.62,90
1,"7","17","6",5830,4,74,78,NA,2746,61,69.44,120
1,"7","18","7",5830,5,69,75,NA,2493,55,72.5,120
1,"7","19","1",5840,7,72,82,68,1528,42,73.94,100
1,"7","20","2",5870,6,73,84,74.12,111,40,78.08,60
1,"7","21","3",5870,4,90,86,74.48,1899,45,76.46,40
NA,"7","22","4",5850,4,79,70,65.12,2020,37,73.22,50
1,"7","23","5",5860,3,80,80,67.28,1289,32,75.2,40
1,"7","24","6",5900,3,73,80,NA,984,35,78.8,70
1,"7","25","7",5890,4,71,84,NA,836,28,81.5,80
1,"7","26","1",5880,4,78,84,70.7,826,27,79.34,80
1,"7","27","2",5890,6,80,81,69.8,1105,39,74.12,80
1,"7","28","3",5870,8,74,85,71.42,1023,46,77.18,80
1,"7","29","4",NA,6,70,79,67.82,1453,68,70.16,80
1,"7","30","5",NA,6,71,72,66.02,2375,52,66.2,100
1,"7","31","6",5820,6,63,73,NA,2956,46,67.28,120
1,"8","1","7",5780,6,57,72,NA,2988,56,65.66,150
0,"8","2","1",5770,3,55,68,62.6,4291,60,62.24,200
1,"8","3","2",5790,4,65,65,56.48,3330,59,58.64,150
1,"8","4","3",5820,6,NA,64,62.06,NA,31,NA,150
1,"8","5","4",5840,6,NA,75,65.12,NA,35,NA,150
1,"8","6","5",5800,7,NA,69,63.32,NA,49,NA,150
1,"8","7","6",5830,4,NA,69,NA,NA,30,NA,100
1,"8","8","7",5800,3,NA,72,NA,NA,43,NA,100
1,"8","9","1",5840,7,65,79,67.1,1233,30,70.52,100
1,"8","10","2",NA,3,74,78,66.02,1450,36,69.8,30
1,"8","11","3",5910,5,72,81,70.88,1069,28,74.3,80
1,"8","12","4",5890,5,79,80,69.8,984,57,73.4,70
1,"8","13","5",5870,6,62,76,NA,1653,71,68.72,60
0,"8","14","6",5780,7,65,59,NA,3930,68,59.18,150
0,"8","15","7",5730,5,77,55,NA,5000,73,51.62,200
0,"8","16","1",5780,7,70,66,51.44,5000,45,51.26,200
0,"8","17","2",5750,7,58,64,56.48,4212,46,56.84,200
1,"8","18","3",5760,5,58,62,52.16,5000,52,49.82,250
0,"8","19","4",5730,7,72,67,NA,5000,31,57.38,300
1,"8","20","5",5730,5,77,74,64.04,1545,43,65.66,70
1,"8","21","6",5790,4,57,74,NA,994,44,69.62,300
1,"8","22","7",5750,3,67,70,NA,1125,55,68,150
1,"8","23","1",5880,3,73,77,NA,636,16,73.94,300
1,"8","24","2",5890,7,70,83,70.88,748,32,77,30
1,"8","25","3",5880,4,73,81,73.76,692,44,77.72,100
1,"8","26","4",5870,7,73,73,75.2,807,39,78.8,100
1,"8","27","5",5900,6,71,87,76.46,869,19,78.98,17
1,"8","28","6",5920,4,77,89,NA,800,24,85.64,20
1,"8","29","7",5930,3,68,92,NA,393,6,91.76,4
1,"8","30","1",5950,5,62,92,82.4,557,0,90.68,70
1,"8","31","2",5950,8,61,93,81.68,620,27,85.64,30
1,"9","1","3",5900,5,71,93,82.58,1404,33,84.74,70
1,"9","2","4",5890,8,77,86,71.42,898,21,80.6,60
1,"9","3","5",5860,7,71,76,69.44,377,-2,83.3,40
1,"9","4","6",5840,5,67,81,NA,528,17,78.8,50
1,"9","5","7",5800,6,74,78,NA,2818,26,72.68,70
1,"9","6","1",5760,7,65,73,NA,3247,10,67.28,140
1,"9","7","2",5810,6,82,80,71.78,895,0,78.08,100
1,"9","8","3",5850,4,67,81,70.88,721,0,80.24,120
0,"9","9","4",NA,5,73,69,66.92,774,-27,75.56,100
0,"9","10","5",NA,6,74,59,61.88,134,0,77.18,70
0,"9","11","6",5760,7,87,52,NA,5000,39,51.8,150
1,"9","12","7",5860,4,71,63,NA,1965,13,60.98,50
1,"9","13","1",5830,5,77,72,68.72,1853,10,70.88,70
1,"9","14","2",5840,5,78,75,69.26,2342,7,71.42,40
0,"9","15","3",5800,7,72,55,54.32,5000,56,51.62,70
0,"9","16","4",NA,10,67,59,51.44,5000,37,47.48,120
0,"9","17","5",5790,3,71,61,50.54,4028,35,55.04,140
1,"9","18","6",5830,5,71,71,NA,2716,26,63.68,140
1,"9","19","7",5810,5,76,71,NA,3671,31,65.84,100
NA,"9","20","1",5770,5,76,66,62.96,3431,26,62.24,50
1,"9","21","2",5780,6,76,72,66.38,3795,31,66.92,70
1,"9","22","3",5800,6,73,75,67.1,3120,35,66.92,40
NA,"9","23","4",5770,3,66,71,63.68,4133,28,63.5,40
0,"9","24","5",5800,5,80,65,60.08,2667,17,63.5,100
0,"9","25","6",5780,9,73,61,NA,5000,39,52.7,120
0,"9","26","7",5790,8,80,60,NA,5000,36,48.92,120
1,"9","27","1",5770,5,75,64,55.94,308,25,68.72,140
1,"9","28","2",5750,4,68,61,59.54,2982,18,59.9,120
0,"9","29","3",5640,5,93,63,54.32,5000,30,52.7,70
0,"9","30","4",5640,7,57,62,54.32,5000,25,51.26,150
0,"10","1","5",5650,3,70,59,50.9,5000,38,47.66,200
0,"10","2","6",5710,6,65,56,NA,5000,35,47.84,200
1,"10","3","7",5760,6,66,59,NA,3070,13,60.08,200
1,"10","4","1",5840,4,73,72,63.14,830,0,72.14,70
1,"10","5","2",5880,3,77,71,67.64,711,-9,75.56,40
1,"10","6","3",5890,5,80,75,71.06,1049,-10,78.98,50
1,"10","7","4",5890,4,73,71,70.88,511,-39,83.84,17
1,"10","8","5",5890,5,19,71,70.52,5000,-40,67.64,80
0,"10","9","6",5890,6,19,73,NA,5000,-34,69.44,250
1,"10","10","7",5850,3,73,78,NA,377,-3,78.8,200
1,"10","11","1",5830,5,76,73,NA,862,27,73.58,2
0,"10","12","2",5830,8,77,71,67.1,337,-17,81.14,20
1,"10","13","3",5860,5,86,73,69.8,492,-2,82.22,7
1,"10","14","4",5830,5,76,71,69.44,1394,13,75.02,30
1,"10","15","5",5800,7,66,66,62.96,3146,27,64.04,50
1,"10","16","6",5830,4,74,69,NA,2234,11,66.74,70
1,"10","17","7",5790,5,71,69,NA,2109,21,69.62,17
1,"10","18","1",5730,4,84,64,56.3,5000,23,54.5,80
0,"10","19","2",5780,5,74,65,63.14,2270,-7,68.9,50
1,"10","20","3",5740,7,48,54,62.96,2191,-13,68.72,60
1,"10","21","4",5710,8,75,62,58.64,3448,12,58.64,60
0,"10","22","5",5690,6,74,56,52.34,5000,13,48.92,80
0,"10","23","6",5670,4,67,55,NA,5000,11,49.46,50
0,"10","24","7",5760,4,75,58,NA,2719,25,56.84,50
1,"10","25","1",5820,5,71,48,NA,1899,21,62.06,40
0,"10","26","2",5790,3,35,54,NA,5000,-41,52.52,40
0,"10","27","3",5760,5,23,57,53.42,5000,-21,50.9,300
1,"10","28","4",5800,6,19,60,57.02,5000,-19,54.32,200
1,"10","29","5",5810,7,59,61,55.76,2385,10,60.44,150
1,"10","30","6",5750,4,60,63,NA,1938,0,62.6,100
1,"10","31","7",5840,0,38,65,NA,590,-11,69.98,100
0,"11","1","1",5860,3,NA,66,65.12,NA,-32,NA,60
0,"11","2","2",5870,6,NA,68,68.9,NA,-42,NA,150
1,"11","3","3",5920,3,22,71,69.08,328,-40,80.6,150
0,"11","4","4",5900,0,NA,70,68.72,NA,-43,NA,200
0,"11","5","5",5860,7,19,70,62.78,5000,-29,61.7,300
1,"11","6","6",5840,3,NA,70,NA,NA,-9,NA,120
1,"11","7","7",5840,0,45,68,NA,597,-22,73.58,30
0,"11","8","1",5850,5,NA,64,64.04,NA,-25,NA,100
1,"11","9","2",5810,2,47,69,60.98,469,-4,71.78,50
1,"11","10","3",5770,2,73,59,57.2,1541,18,63.14,20
0,"11","11","4",5710,4,67,49,44.24,5000,24,41.9,200
0,"11","12","5",5500,9,56,39,41.36,5000,15,41.72,120
0,"11","13","6",5660,3,54,50,NA,5000,27,44.6,300
0,"11","14","7",5700,3,71,46,NA,5000,54,42.8,200
0,"11","15","1",5810,5,59,54,54.5,5000,-28,53.6,70
0,"11","16","2",5860,0,25,60,61.52,5000,-38,63.5,140
1,"11","17","3",5900,0,24,62,62.6,5000,-36,60.08,150
0,"11","18","4",5850,5,41,65,59.54,2014,-20,69.98,200
1,"11","19","5",5780,3,50,66,59.72,436,1,70.34,4
1,"11","20","6",5790,0,76,66,NA,830,3,66.02,40
1,"11","21","7",5780,2,82,63,NA,1112,-8,66.38,30
1,"11","22","1",5770,2,81,62,60.62,1210,-17,67.82,30
1,"11","23","2",5750,2,85,60,59.72,501,-22,70.88,2
0,"11","24","3",5780,5,76,63,60.44,875,-15,68.9,0
1,"11","25","4",5790,5,66,60,NA,1601,7,62.06,30
0,"11","26","5",5750,6,58,58,42.62,5000,59,41.9,60
0,"11","27","6",5670,8,19,34,NA,5000,-63,37.04,150
0,"11","28","7",5760,0,19,36,NA,5000,-52,41,100
0,"11","29","1",5770,4,19,44,51.26,2280,-54,55.76,250
0,"11","30","2",5810,2,19,53,55.94,2047,-43,63.5,150
0,"12","1","3",5810,2,19,52,57.74,5000,-69,56.48,200
0,"12","2","4",5870,3,19,53,60.8,3720,-50,61.34,200
0,"12","3","5",5830,2,27,58,59,311,-24,69.98,200
0,"12","4","6",5760,0,64,55,NA,2536,28,56.48,80
0,"12","5","7",5680,0,52,50,NA,1154,-22,61.52,60
0,"12","6","1",5780,4,19,48,54.14,2933,-40,59.9,300
0,"12","7","2",5810,3,19,51,58.28,3064,-33,62.78,200
0,"12","8","3",5760,0,32,62,56.12,826,-16,64.76,300
1,"12","9","4",5680,0,58,40,46.94,5000,2,42.98,50
0,"12","10","5",5750,0,26,44,52.88,111,-52,68.18,40
0,"12","11","6",5790,5,19,49,NA,5000,-48,54.68,70
0,"12","12","7",5770,3,19,53,NA,5000,-37,55.58,150
0,"12","13","1",5750,0,19,53,51.98,5000,-26,51.08,150
0,"12","14","2",5720,0,19,53,52.7,5000,-31,51.44,70
0,"12","15","3",5760,3,19,55,58.1,948,-48,70.7,200
0,"12","16","4",5780,0,19,51,54.32,5000,-50,50.9,120
0,"12","17","5",5660,4,19,54,49.64,5000,-22,48.56,150
0,"12","18","6",5610,2,58,48,NA,3687,-10,46.94,150
0,"12","19","7",5640,0,51,53,NA,5000,0,44.24,60
0,"12","20","1",5680,3,52,49,48.38,5000,-19,45.68,70
0,"12","21","2",5650,5,19,48,47.12,5000,-28,45.32,150
0,"12","22","3",5710,4,19,51,51.08,5000,-25,48.38,300
0,"12","23","4",5680,4,57,47,45.32,508,-10,58.64,100
1,"12","24","5",5630,4,50,50,NA,2851,-5,50,70
0,"12","25","6",5770,0,NA,49,NA,NA,-35,NA,40
0,"12","26","7",5800,7,19,51,NA,3143,NA,60.26,140
0,"12","27","1",5730,3,53,51,49.28,111,-14,72.5,200
0,"12","28","2",5690,3,23,51,49.28,5000,-36,51.26,70
0,"12","29","3",5650,3,61,50,46.58,3704,18,46.94,40
0,"12","30","4",5550,4,85,39,41,5000,8,39.92,100
0,"12","31","5",NA,4,68,37,NA,5000,-3,37.22,70
